Tipo di attività,Data,Preferita,Titolo,Distanza,Calorie,Tempo,FC Media,FC max,TE aerobico,Cadenza di corsa media,Cadenza di corsa max,Passo medio,Passo migliore,Ascesa totale,Discesa totale,Lunghezza media passo,GAP medio,Normalized Power® (NP®),Training Stress Score®,Potenza media,Potenza max,Passi,Decompressione,Tempo Lap migliore,Numero di Lap,Tempo in movimento,Tempo trascorso,Quota minima,Quota massima
Corsa,2025-06-16 09:51:07,false,"Castellammare di Stabia Corsa","3.01","221","00:19:41","152","180","2.6","165","175","6:33","4:45","1","6","0.92","6:37","261","0.0","257","377","3,288","No","00:00:03.6","4","00:19:28","00:19:41","26","32"
Corsa,2025-06-15 10:24:40,false,"Castellammare di Stabia Corsa","4.00","301","00:27:54","148","190","2.8","161","174","6:58","5:26","2","7","0.89","7:00","251","0.0","240","427","4,568","No","00:00:01.8","5","00:27:37","00:32:14","10","17"
Corsa,2025-06-14 10:20:04,false,"Castellammare di Stabia Corsa","3.01","205","00:17:04","151","184","2.6","156","212","5:40","2:35","6","9","1.13","5:46","311","0.0","285","652","2,792","No","00:00:05.9","4","00:16:41","00:26:29","15","25"
Corsa,2025-06-11 09:54:54,false,"Castellammare di Stabia - Base","3.02","210","00:19:14","143","173","2.4","161","178","6:22","4:58","2","5","0.98","6:28","274","0.0","261","351","3,128","No","00:00:13.1","4","00:18:50","00:23:01","21","28"
Corsa,2025-06-09 09:37:14,false,"Castellammare di Stabia - Soglia","4.28","304","00:26:11","154","184","3.0","165","177","6:07","4:25","2","4","0.99","6:12","283","0.0","274","407","4,326","No","00:00:00.6","7","00:26:00","00:30:59","10","15"
Corsa,2025-06-08 19:57:24,false,"Castellammare di Stabia - Base","5.35","390","00:36:32","145","166","2.8","162","222","6:50","2:47","29","3","0.90","6:43","259","0.0","247","596","5,994","No","00:02:22.9","6","00:36:26","00:36:32","-11","19"
Corsa,2025-06-07 19:33:56,false,"Castellammare di Stabia - Base","6.05","389","00:36:03","147","177","2.9","163","230","5:57","1:43","6","3","1.03","6:07","331","0.0","277","1,057","5,896","No","00:00:02.7","8","00:36:01","00:36:03","13","19"
Corsa,2025-06-06 09:12:20,false,"Castellammare di Stabia - Anaerobico","7.08","497","00:51:05","139","187","3.0","139","233","7:13","2:49","11","12","0.98","7:19","264","0.0","211","609","7,312","No","00:01:00","19","00:50:21","00:51:05","10","16"
Corsa,2025-06-05 10:30:02,false,"Castellammare di Stabia - Base","4.01","290","00:27:44","145","161","2.4","162","172","6:55","5:58","9","6","0.91","7:01","247","0.0","242","292","4,548","No","00:00:08.5","5","00:27:23","00:30:47","23","36"
Corsa,2025-06-04 20:26:24,false,"Castellammare di Stabia Corsa","2.02","135","00:11:14","149","183","2.3","159","193","5:34","3:38","2","2","1.13","5:30","311","0.0","302","512","1,842","No","00:00:05.1","3","00:11:02","00:11:14","8","11"
Corsa,2025-06-03 18:23:07,false,"Castellammare di Stabia Corsa","4.01","287","00:25:00","150","180","3.0","166","172","6:14","5:00","5","8","0.97","6:19","275","0.0","270","350","4,166","No","00:00:08.0","5","00:24:56","00:25:00","0","6"
Corsa,2025-06-02 19:21:52,false,"Castellammare di Stabia - Base","5.28","387","00:36:08","147","172","3.0","160","172","6:50","5:05","10","8","0.91","6:49","255","0.0","245","351","5,802","No","00:00:07.9","7","00:36:04","00:36:08","10","22"
Corsa,2025-05-29 19:05:21,false,"Castellammare di Stabia - Recupero","4.10","299","00:26:20","151","178","2.9","163","200","6:26","3:57","4","5","0.95","6:31","274","0.0","266","475","4,276","No","00:00:19.6","6","00:26:18","00:26:20","12","15"
Corsa,2025-05-28 18:39:06,false,"Castellammare di Stabia - Base","5.87","425","00:36:03","154","177","3.4","160","174","6:08","5:09","21","15","1.02","6:13","284","0.0","273","408","5,818","No","00:00:02.9","7","00:35:23","00:37:03","7","16"
Corsa,2025-05-27 19:09:10,false,"Castellammare di Stabia - Base","5.83","410","00:36:05","143","176","3.3","163","207","6:11","3:57","7","9","0.99","6:12","281","0.0","273","468","5,892","No","00:00:04.8","7","00:35:57","00:36:55","10","16"
Corsa,2025-05-26 18:59:59,false,"Castellammare di Stabia Corsa","3.01","191","00:15:21","155","187","2.6","168","183","5:06","4:15","10","11","1.16","5:19","328","0.0","318","465","2,590","No","00:00:03.8","4","00:15:12","00:17:40","11","17"
Corsa,2025-05-25 12:39:56,false,"Castellammare di Stabia Corsa","3.02","205","00:17:03","151","184","2.8","161","175","5:39","4:45","8","9","1.09","5:43","308","0.0","295","391","2,794","No","00:00:15.8","4","00:16:40","00:22:12","11","17"
Corsa,2025-05-23 19:06:39,false,"Castellammare di Stabia Corsa","4.01","281","00:23:42","151","178","3.0","168","231","5:54","5:08","4","8","1.01","5:56","288","0.0","284","341","3,972","No","00:00:06.4","5","00:23:38","00:24:47","13","19"
Corsa,2025-05-22 18:31:54,false,"Castellammare di Stabia - Soglia","5.46","382","00:32:23","153","178","3.1","163","205","5:56","3:13","18","14","1.04","6:02","295","0.0","282","567","5,326","No","00:00:03.7","8","00:32:12","00:39:10","6","17"
Corsa,2025-05-20 18:48:38,false,"Castellammare di Stabia Corsa","3.03","197","00:16:26","147","158","2.6","171","222","5:26","4:37","6","2","1.08","5:32","312","0.0","305","395","2,800","No","00:00:19.2","4","00:16:20","00:16:26","8","15"
Corsa,2025-05-19 18:25:05,false,"Castellammare di Stabia Corsa","3.01","199","00:16:11","153","178","2.7","167","177","5:22","4:37","9","7","1.11","5:25","318","0.0","312","383","2,724","No","00:00:05.2","4","00:16:04","00:16:11","17","23"
Corsa,2025-05-18 10:20:34,false,"Castellammare di Stabia - Base","6.56","479","00:43:36","153","190","3.1","165","175","6:39","5:31","10","6","0.91","6:45","261","0.0","258","392","7,184","No","00:03:14.8","7","00:43:21","00:51:05","10","17"
Corsa,2025-05-16 17:38:11,false,"Castellammare di Stabia - Sprint","6.89","469","00:43:33","146","186","3.1","146","231","6:20","2:57","29","32","1.08","6:36","285","0.0","244","605","6,712","No","00:00:02.8","17","00:42:48","00:43:33","16","23"
Corsa,2025-05-13 17:02:29,false,"Castellammare di Stabia - Base","2.02","139","00:12:46","136","158","2.1","160","170","6:20","5:37","3","5","1.00","6:23","275","0.0","263","334","2,052","No","00:00:10.4","3","00:12:42","00:12:46","9","13"
Corsa,2025-05-12 16:05:54,false,"Castellammare di Stabia - Soglia","5.39","395","00:33:31","160","187","3.3","155","217","6:13","2:55","17","23","1.04","6:13","287","0.0","263","566","5,352","No","00:00:32.6","7","00:33:29","00:33:31","3","12"
Corsa,2025-05-10 19:53:13,false,"Castellammare di Stabia - Base","5.02","362","00:33:40","144","161","2.7","161","172","6:42","5:24","--","3","0.93","6:42","258","0.0","252","329","5,470","No","00:00:16.2","6","00:33:35","00:33:40","8","14"
Corsa,2025-05-09 18:05:47,false,"Castellammare di Stabia - Recupero","4.45","321","00:28:52","150","171","2.8","162","170","6:30","5:06","8","12","0.95","6:35","264","0.0","257","367","4,716","No","00:00:52.4","6","00:28:38","00:28:52","10","17"
Corsa,2025-05-08 18:15:50,false,"Castellammare di Stabia - Base","6.32","457","00:40:06","155","175","3.3","158","175","6:21","5:14","10","11","1.00","6:23","275","0.0","260","348","6,450","No","00:01:06.1","8","00:40:00","00:40:06","7","17"
Corsa,2025-05-07 18:25:06,false,"Castellammare di Stabia - Soglia","6.19","449","00:37:15","156","181","3.4","162","231","6:01","4:13","13","19","1.02","6:04","292","0.0","282","403","6,082","No","00:00:15.2","9","00:36:47","00:37:15","8","17"
Corsa,2025-05-06 18:22:15,false,"Castellammare di Stabia - Base","6.13","441","00:40:10","148","167","3.0","163","214","6:33","5:38","27","31","0.94","6:35","268","0.0","261","413","6,544","No","00:00:17","8","00:40:09","00:40:10","8","16"
Corsa,2025-05-05 17:39:10,false,"Castellammare di Stabia - Soglia","6.21","456","00:38:17","160","185","3.4","157","193","6:10","4:01","12","13","1.03","6:10","290","0.0","273","460","6,122","No","00:00:33.8","9","00:38:13","00:38:17","6","16"
Corsa,2025-05-04 09:44:25,false,"Castellammare di Stabia - Base","6.38","466","00:40:49","153","167","3.2","161","172","6:23","4:01","3","10","0.97","6:23","270","0.0","261","312","6,638","No","00:00:48.6","8","00:40:47","00:42:17","13","40"
Corsa,2025-05-02 11:41:37,false,"Castellammare di Stabia - Base","6.28","465","00:40:54","153","177","3.3","159","174","6:30","5:12","16","14","0.96","6:29","270","0.0","256","378","6,580","No","00:01:37.9","8","00:40:50","00:40:54","0","12"
Corsa,2025-05-01 18:42:24,false,"Castellammare di Stabia - VO2 max","7.24","510","00:42:43","157","186","3.6","160","187","5:54","4:20","5","6","1.05","5:55","303","0.0","285","404","6,928","No","00:00:43.2","12","00:42:37","00:42:43","11","16"
Corsa,2025-04-30 17:58:33,false,"Castellammare di Stabia - Base","5.56","412","00:34:37","156","174","3.2","163","176","6:13","4:11","11","14","1.00","6:11","282","0.0","276","436","5,728","No","00:00:37.4","7","00:34:20","00:34:37","13","20"
Corsa,2025-04-29 17:34:31,false,"Castellammare di Stabia - Soglia","6.25","452","00:37:58","162","190","3.5","159","177","6:05","4:26","15","20","1.03","6:03","305","0.0","283","420","6,148","No","00:00:52.9","9","00:37:53","00:39:36","12","21"
Corsa,2025-04-26 10:44:12,false,"Castellammare di Stabia Corsa","10.01","729","01:02:54","154","187","3.6","168","214","6:17","5:02","19","13","0.95","6:17","273","0.0","270","417","10,546","No","00:00:07.2","11","01:02:48","01:02:54","7","18"
Corsa,2025-04-25 11:12:31,false,"Castellammare di Stabia - Base","6.34","470","00:39:05","158","179","3.3","166","174","6:10","3:10","6","9","0.98","6:10","277","0.0","274","530","6,512","No","00:00:04.8","8","00:38:56","00:39:05","11","16"
Corsa,2025-04-24 10:55:17,false,"Castellammare di Stabia - Base","5.02","371","00:30:41","158","188","3.2","165","183","6:06","4:32","8","8","0.99","6:03","282","0.0","278","418","5,104","No","00:00:16.5","6","00:30:32","00:30:41","17","21"
Corsa,2025-04-23 17:25:21,false,"Castellammare di Stabia - Base","5.54","411","00:33:10","158","177","3.4","165","172","5:59","5:05","8","16","1.01","5:59","292","0.0","288","357","5,476","No","00:00:09.8","7","00:33:02","00:33:10","11","23"
Corsa,2025-04-21 10:43:31,false,"Castellammare di Stabia Corsa","3.01","224","00:20:25","145","154","2.3","158","168","6:47","6:07","7","3","0.92","6:43","254","0.0","250","284","3,308","No","00:00:05.2","4","00:20:16","00:20:25","14","21"
Corsa,2025-04-20 10:30:57,false,"Castellammare di Stabia - Base","7.02","517","00:41:09","164","178","3.7","166","177","5:52","4:33","1","3","1.03","5:50","294","0.0","291","378","6,832","No","00:02:09.1","8","00:41:08","00:41:09","15","19"
Corsa,2025-04-19 09:03:41,false,"Castellammare di Stabia - Base","6.01","396","00:32:51","147","180","3.3","168","183","5:28","4:39","10","2","1.09","5:28","313","0.0","308","382","5,578","No","00:00:03.2","7","00:32:30","00:32:51","0","9"
Corsa,2025-04-18 11:54:58,false,"Castellammare di Stabia - Base","5.28","384","00:31:10","157","173","3.3","166","174","5:54","5:08","11","21","1.02","5:58","293","0.0","288","369","5,178","No","00:00:09.7","7","00:30:50","00:31:18","16","28"
Corsa,2025-04-17 18:29:43,false,"Castellammare di Stabia - Base","5.07","379","00:31:10","160","182","3.2","163","174","6:09","3:23","16","13","1.00","6:00","306","0.0","282","542","5,136","No","00:00:09.8","7","00:30:54","00:31:28","6","16"
Corsa,2025-04-15 16:44:56,false,"Castellammare di Stabia - Base","5.01","376","00:31:15","161","183","3.2","163","170","6:14","4:26","10","5","0.98","6:11","277","0.0","274","407","5,120","No","00:01:15.0","6","00:31:10","00:31:15","-16","-5"
Corsa,2025-04-13 19:48:51,false,"Castellammare di Stabia - Base","8.01","592","00:48:57","161","181","3.7","163","170","6:07","4:41","5","4","1.01","6:07","282","0.0","279","385","7,984","No","00:02:37.8","9","00:48:44","00:48:57","10","15"
Corsa,2025-04-11 06:53:28,false,"Castellammare di Stabia - Base","6.02","392","00:33:25","143","162","3.2","170","181","5:33","4:54","12","8","1.06","5:34","308","0.0","303","363","5,704","No","00:02:24.6","7","00:33:04","00:33:25","11","20"
